Sr,Supply chain problem,Application domain,Title,Specific aspect / SC aspect,Tools used to build the model,Simulation method used,Optimization/prediction method used,Comments,Any attributes
1,Demand Forecasting,Other/Not mentioned,An Agent-based Simulation Model to Mitigate the Bullwhip Effect via Information Sharing and Risk Pooling,"Analysis: Bullwhip effect (ripple of rising demand towards supplier in chain)

Authors model 3 echelon SC to study impact of info sharing and risk pooling",AnyLogic,ABS,Analysis: simulation-based,"The paper investigates strategies to mitigate the bullwhip effect in supply chains through an agent-based simulation model. It focuses on the impact of information sharing and risk pooling on reducing demand distortion across a three-echelon supply chain comprising a manufacturer, wholesaler, and two retailers","SC structure (2 retailers, a wholesaler, manufacturer)
demand and order quantity
inventory replenishment policy (order-up-to level, safety stock, moving average forecast)
Lead time"
2,Demand Forecasting,Other/Not mentioned,Simulation of stochastic rolling horizon forecast behavior with applied outlier correction to increase forecast accuracy,"Simulation-based optimization
Authors model and simulate different ""outlier correction"" methods, evaluate their performance. This study shows applying these methods improves forecast accuracy",AnyLogic,DES,Simulation-based,"a supply chain involves two stages: customers providing demand forecasts to a manufacturer. Customers update these forecasts over time (rolling horizon basis).
Forecast issues: stochastic errors (random variation in forecast), bias (overestimate or underestimate actual demand) - this causes instabilities in planning (ERP). These are outliers in demand forecasts.
Authors propose simulation of outlier correction methods to prove their usability","forecast, forecast_horizon, random update term to introduce stochastic nature"
3,Demand Forecasting,Other/Not mentioned,Forecast and production order accuracy for stochastic forecast updates with demand shifting and forecast bias correction,"Analysis
impact of biased and unbiased forecast updates on accuracy

- also introduces demand correction methods to mitigateeffect of biased forecasts",AnyLogic,DES,simulation based analysis,"The paper develops a demand model for suppliers based on observed customer forecasting behaviors, focusing on rolling horizon information updates. It examines the effects of unbiased and biased forecast updates, as well as demand shifting between periods, on forecast and production order accuracy. They evaluate the impact of these factors on forecast accuracy and introduces a correction method to mitigate the negative effects of biased forecasts. The findings are validated through simulation and real company data, providing insights into improving production planning in manufacturing systems",
4,Demand Forecasting,Other/Not mentioned,Using simulation-based system dynamics and genetic algorithms to reduce the cash flow bullwhip in the supply chain,"Demand forecasting,
Inventory, replenishment policies",MATLAB,SD,"simulation-based optimisation, SBO","Cash Flow Bullwhip (CFB) and the traditional inventory bullwhip effect (BWE), i.e., variability amplification in orders and in cash conversion cycles across stages. The paper aims to minimise CFB, BWE, and supply chain total cost (SCTC) by finding optimal control parameters.","Modeling parameters
    desired inventory
    desired supply line
    sales price per unit)
    unit cost
    upstream sales price
    demand smoothing parameter
    orders placed
    order quantity
    inventory level
    backlog
    financial policy (pay policy, collection policy)

Performance metrics (output)
    Supply Chain Total Cost
    Bullwhip Effect variance(orders)/variance(demand) 
    Cash Conversion Cycle (CCC) (derived metric)
    Cash Flow Bullwhip variance(CCC)/variance(demand)
    Inventory levels and backlog levels
    Order quantity trajectories and order variance"
5,Demand Forecasting; Supply Chain Disruptions,Other/Not mentioned,"State of the art, conceptual framework and simulation analysis of the ripple effect on supply chains.",Supply chain disruptions,Python,ABS,Analysis,"The paper tackles the fragmented state of knowledge on the ripple effect: how disruptions spread through supply chains, which mitigation and recovery measures exist, and where empirical and methodological gaps remain.

They performed a systematic literature review (50 selected documents) to classify research streams, methods, application areas and mitigation strategies.
From the review they proposed a conceptual framework that links disruption drivers, resilience pillars (redundancy, robustness, flexibility), digital technologies, and proactive/reactive measures.
They implemented and validated that framework with a System Dynamics simulation model (adapted from Gu and Gao) to quantify ripple propagation and to test how inventory cover time, recovery speed and mitigation policies affect service levels and profits.","Disruption attributes
Operational parameters: lead times, processing times, transport capacity, safety stock/cover time, reorder policies.

Service level; share of demand met; time-to-recover; time-to-survive; resilience indices (recovery speed and magnitude).
Economic metrics: total cost, disruption cost, profit
Topological/structural metrics: node connectivity, largest functional component, path lengths.
Variability measures: order/inventory variance, bullwhip/ripple quantification"
6,Energy and Carbon Cost Modeling and Optimization,Other/Not mentioned,Hybrid System modelling Approach for the Depiction of the Energy Consumption in Production Simulations,"energy efficiency analysis in production - 

energy consumption in the context of planning and scheduling operations",AnyLogic,Hybrid DES + ABS + SD,not specified.,focuses mainly on the detection of possible energy consumption peaks in the system using simulations,No
7,Inventory Analysis and Optimization,Agriculture and Food,An adaptive simulation-based inventory optimisation approach to enhancing biomass supply chain resilience: a case study of remote communities,"Inventory

1. Multi-echelon inventory and replenishment (s, S), 
2. Conversion and production processes (at bio-hubs (drying, grinding, pelletising, cooling) including machine failures and repair times.)
3. Transportation constraints: trucks and ships with seasonal access windows and load capacities",AnyLogic,Hybrid DES + ABS + Monte Carlo,OptQuest,"Adaptive inventory planning and resilience in biomass supply chains facing stochastic feedstock quality, seasonal transport windows, equipment breakdowns, and capacity limits.

Objective: minimise total system cost while improving reliability, biomass share in the energy mix, and reducing CO? emissions compared to diesel-only scenarios.","Key modeling parameters
    Inventory policy variables: reorder point s and order-up-to level S per node.
    Production/process parameters: dryer heat demand, pellet mill capacity, machine time-to-failure and repair distributions.
    Feedstock quality: moisture content (Weibull) and heating value (Normal).
    Transport parameters: truck/ship capacities, speeds, load/unload times, seasonal transport windows.
    Cost parameters: storage costs (hub and community), transportation costs, electricity levelised costs for biomass and diesel, penalty for diesel use.

Performance metrics and outputs
    Electricity generation mix: total bioenergy (GW) vs diesel (GW); bioenergy share of supply.
    Total system cost and unit cost of electricity ($/kWh).
    CO? emissions from transportation and fuel combustion (kg CO?-eq).
    Unmet demand (amount covered by diesel) and reliability/readiness indicators.
    Inventory dynamics: on-hand and in-process inventory time series at hubs and communities.
    Cost incurred: inventory, transportation, generation, and module-level cost."
8,Inventory Analysis and Optimization,Agriculture and Food,A simulation-optimisation approach for production control strategies in perishable food supply chains,Inventory optimization,Arena,DES,,Food SC,
9,Inventory Analysis and Optimization,Healthcare and Medical,Scenario-based Simulation Approach for an Integrated Inventory Blood Supply Chain System,Simulation model to support management (or to support critical decisions in the system),Arena,DES,simulation-based,"Authors simulate Blood supply chains (network of blood banks, blood collection centers, hospitals and logistics to transport blood from place to place) using DES in Arena. They support modeling of blood shelf life, cross matching, donation methods...
They propose integrated inventory systems (IIS) (including vehicle depot to facilitate the flow of blood products) that connects blood banks and hospitals","Inventory policy: FIFO, 

specific parameters: blood donation method, Blood product type (RCB,plasma, whole, platelets)..."
10,Inventory Analysis and Optimization,Healthcare and Medical,BloodChainSim – a Simulation Environment to Evaluate Digital Innovations in Blood Supply Chains,Optimization of inventory (and logistics) to maximize availability (to minimize blood shortage),AnyLogic,Hybrid DES + ABS,Simulation-based,BloodChainSim is a toolkit developed on top of AnyLogic.,Not explicitly
